기간,자치구,발생,발생,발생,발생,소실,소실,소실,피해액,피해액,피해액,재산피해경감액,인명피해,인명피해,인명피해,이재민수,구조인원
기간,자치구,합계,실화,방화,기타,동수(동),이재가구수(가구),면적(㎡),합계,부동산,동산,재산피해경감액,합계,사망,부상,이재민수,구조인원
2017,합계,"5,978","5,346",123,509,668,71,"85,590","15,323,890","6,592,363","8,731,527","780,427,721",283,37,246,148,794
2017,종로구,234,197,6,31,13,9,832,"1,077,665","193,128","884,537","7,859,982",4,1,3,20,16
2017,중구,198,177,3,18,34,13,"1,077","485,392","199,688","285,704","6,129,751",19,5,14,14,17
2017,용산구,167,145,-,22,6,7,620,"262,910","112,190","150,720","14,355,773",6,-,6,22,8
2017,성동구,197,173,4,20,36,-,940,"621,324","228,269","393,055","16,032,935",12,1,11,-,10
2017,광진구,200,188,3,9,22,-,657,"433,742","230,322","203,420","18,534,827",7,1,6,-,29
2017,동대문구,200,170,5,25,11,-,"1,567","1,122,454","475,285","647,169","36,773,885",3,1,2,-,53
2017,중랑구,196,167,2,27,18,1,849,"332,366","171,049","161,317","8,533,459",7,2,5,4,15
2017,성북구,183,154,5,24,34,-,721,"400,640","182,471","218,169","11,676,782",9,1,8,-,9
2017,강북구,186,173,4,9,75,-,652,"339,146","134,341","204,805","11,134,148",6,-,6,-,8
2017,도봉구,192,176,8,8,12,2,"2,267","288,836","76,077","212,759","8,438,906",8,2,6,3,5
2017,노원구,279,251,6,22,29,8,"45,623","566,821","284,890","281,931","20,549,503",21,3,18,22,36
2017,은평구,159,125,2,32,15,2,416,"218,200","100,299","117,901","1,686,664",3,-,3,3,16
2017,서대문구,232,215,6,11,13,4,736,"397,573","181,371","216,202","9,809,621",16,1,15,10,12
2017,마포구,235,210,3,22,23,2,"5,318","1,359,029","1,051,681","307,348","36,240,389",8,1,7,3,16
2017,양천구,244,227,7,10,15,-,890,"300,631","110,271","190,360","13,705,813",7,-,7,-,71
2017,강서구,364,330,5,29,14,4,"2,628","706,871","342,521","364,350","46,790,410",25,3,22,9,11
2017,구로구,260,238,3,19,28,-,"1,515","460,568","112,488","348,080","16,904,367",6,1,5,-,44
2017,금천구,174,162,4,8,25,3,585,"605,549","163,006","442,543","21,160,624",9,2,7,6,30
2017,영등포구,239,218,4,17,46,1,"1,697","1,093,594","300,321","793,273","18,826,917",17,1,16,2,89
2017,동작구,222,206,6,10,26,1,499,"277,144","128,070","149,074","88,183,705",13,3,10,1,25
2017,관악구,286,239,15,32,48,7,"6,818","654,690","320,771","333,919","21,781,978",23,3,20,15,61
2017,서초구,242,220,2,20,3,-,"4,190","695,667","284,206","411,461","213,125,779",15,2,13,-,4
2017,강남구,502,469,6,27,67,1,"2,210","1,565,258","771,016","794,242","90,639,696",11,-,11,1,20
2017,송파구,318,280,7,31,36,5,"1,079","639,227","250,145","389,082","9,309,331",16,3,13,10,149
2017,강동구,269,236,7,26,19,1,"1,202","418,593","188,487","230,106","32,242,476",12,-,12,3,40
2018,합계,"6,368","5,662",167,539,"1,033",177,"27,008","21,239,984","5,478,877","15,761,107","606,988,371",360,53,307,360,911
2018,종로구,254,219,7,28,20,43,909,"574,300","279,955","294,345","12,190,920",36,14,22,44,60
2018,중구,275,244,7,24,63,8,"1,425","1,257,005","558,830","698,175","45,635,102",23,-,23,19,44
2018,용산구,211,165,5,41,21,1,405,"394,903","123,288","271,615","25,313,037",7,1,6,1,15
2018,성동구,212,186,1,25,40,2,580,"616,085","162,939","453,146","5,379,167",12,-,12,3,18
2018,광진구,203,175,2,26,30,-,"1,064","658,185","315,690","342,495","12,607,354",7,-,7,-,53
2018,동대문구,203,175,4,24,93,-,"1,275","709,487","179,873","529,614","9,457,804",4,1,3,-,61
2018,중랑구,254,235,4,15,25,-,893,"201,421","103,281","98,140","11,622,135",10,2,8,-,67
2018,성북구,215,183,5,27,40,6,898,"487,565","184,258","303,307","15,690,182",10,-,10,20,22
2018,강북구,203,180,4,19,29,1,211,"216,838","104,658","112,180","9,596,171",6,4,2,3,11
2018,도봉구,237,217,3,17,18,8,346,"201,498","85,113","116,385","9,832,652",8,-,8,24,11
2018,노원구,229,200,11,18,15,5,"1,299","331,000","105,994","225,006","6,840,069",12,2,10,12,37
2018,은평구,214,184,4,26,12,2,872,"419,503","217,662","201,841","6,622,784",15,5,10,5,17
2018,서대문구,229,210,11,8,22,2,639,"7,877,501","236,471","7,641,030","170,875,389",13,4,9,61,25
2018,마포구,254,237,2,15,56,-,725,"282,984","132,459","150,525","12,091,647",6,2,4,-,23
